date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:00	4744644/4744644	---MCZ	200	added ('OK')	font/otf	etag:W/%224865c4-17955b7cb1b%22	https://zepeto.me/font/NotoSansKR-Regular.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Regular.otf	(from https://zepeto.me/css/zepetome.css)
22:07:00	3294444/3294444	---M--	200	added ('OK')	font/woff2	etag:W/%223244ec-17955b7cb44%22	https://zepeto.me/font/NotoSansKR-Regular.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Regular.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:00	3813956/3813956	---M--	200	added ('OK')	font/woff	etag:W/%223a3244-17955b4e8e5%22	https://zepeto.me/font/NotoSansKR-Regular.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Regular.woff	(from https://zepeto.me/css/zepetome.css)
22:07:00	2656/2656	---M--	200	added ('OK')	font/ttf	etag:W/%22a60-17955b7d1a7%22	https://zepeto.me/font/notosanskr_regular.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_regular.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:00	23686/23686	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c86-17955b7d1a5%22	https://zepeto.me/font/notosanskr_medium.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_medium.eot	(from https://zepeto.me/css/zepetome.css)
22:07:01	23686/23686	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c86-17955b4f216%22	https://zepeto.me/font/notosanskr_medium.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_mediumd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:01	4768724/4768724	---MCZ	200	added ('OK')	font/otf	etag:W/%2248c3d4-17955b7ca7f%22	https://zepeto.me/font/NotoSansKR-Medium.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Medium.otf	(from https://zepeto.me/css/zepetome.css)
22:07:01	3351324/3351324	---M--	200	added ('OK')	font/woff2	etag:W/%2233231c-17955b7cad9%22	https://zepeto.me/font/NotoSansKR-Medium.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Medium.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:01	3864060/3864060	---M--	200	added ('OK')	font/woff	etag:W/%223af5fc-17955b7cab6%22	https://zepeto.me/font/NotoSansKR-Medium.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Medium.woff	(from https://zepeto.me/css/zepetome.css)
22:07:01	2648/2648	---M--	200	added ('OK')	font/ttf	etag:W/%22a58-17955b7d1a5%22	https://zepeto.me/font/notosanskr_medium.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_medium.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:02	24062/24062	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfe-17955b7d1a4%22	https://zepeto.me/font/notosanskr_bold.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_bold.eot	(from https://zepeto.me/css/zepetome.css)
22:07:02	24062/24062	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfe-17955b7d1a4%22	https://zepeto.me/font/notosanskr_bold.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_boldd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:02	4909620/4909620	---MCZ	200	added ('OK')	font/otf	etag:W/%224aea34-17955b4e77a%22	https://zepeto.me/font/NotoSansKR-Bold.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Bold.otf	(from https://zepeto.me/css/zepetome.css)
22:07:02	3442144/3442144	---M--	200	added ('OK')	font/woff2	etag:W/%223485e0-17955b7c9ab%22	https://zepeto.me/font/NotoSansKR-Bold.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Bold.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:03	3954720/3954720	---M--	200	added ('OK')	font/woff	etag:W/%223c5820-17955b7c982%22	https://zepeto.me/font/NotoSansKR-Bold.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Bold.woff	(from https://zepeto.me/css/zepetome.css)
22:07:03	2636/2636	---M--	200	added ('OK')	font/ttf	etag:W/%22a4c-17955b4f216%22	https://zepeto.me/font/notosanskr_bold.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_bold.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:03	24218/24218	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e9a-17955b4f216%22	https://zepeto.me/font/notosanskr_black.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_black.eot	(from https://zepeto.me/css/zepetome.css)
22:07:03	24218/24218	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e9a-17955b7d1a4%22	https://zepeto.me/font/notosanskr_black.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_blackd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:04	5068176/5068176	---MCZ	200	added ('OK')	font/otf	etag:W/%224d5590-17955b4e70b%22	https://zepeto.me/font/NotoSansKR-Black.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Black.otf	(from https://zepeto.me/css/zepetome.css)
22:07:04	3459984/3459984	---M--	200	added ('OK')	font/woff2	etag:W/%2234cb90-17955b7c940%22	https://zepeto.me/font/NotoSansKR-Black.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Black.woff2	(from https://zepeto.me/css/zepetome.css)
